"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"64";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED40, LED41, LED42, LED43, LED44, LED45, LED46, LED47, LED48, LED49, LED50, LED51, LED52, LED53, LED54, LED55, LED56, LED57, LED58, LED59, LED60, LED61, LED62, LED63, LED64";"LED";"";
"1";"";"PINHD-2X5_2.54-SMD";"2X05SMD";"JP1";"PIN HEADER";"";
"7";"100n";"C-EUC0603";"C0603";"C1, C2, C3, C5, C6, C7, C8";"CAPACITOR, European symbol";"";
"1";"10k";"R-EU_R0603";"R0603";"R2";"RESISTOR, European symbol";"";
"4";"10u";"CPOL-EU153CLV-0605";"153CLV-0605";"C9, C10, C11, C12";"POLARIZED CAPACITOR, European symbol";"";
"4";"4k7";"R-EU_R0603";"R0603";"R4, R5, R6, R7";"RESISTOR, European symbol";"";
"1";"74HC595D";"74HC595D";"SO16";"IC2";"8-bit SHIFT REGISTER, output latch";"";
"4";"BSP171P";"BSP170P";"SOT223";"Q1, Q2, Q3, Q4";"SIPMOS(R) Small-Signal-Transistor P-Channel, Enhancement mode";"";
"1";"I_SET_RESISTOR";"R-EU_M1406";"M1406";"R3";"RESISTOR, European symbol";"";
"1";"TLC5940-TSSOP";"TLC5940-TSSOP";"HTSSOP-28";"U$2";"";"";
