"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"JP1Q";"JP1";"BUS_PWRD";"JUMPER";"";
"1";"";"MICROMATCH-10-SMD";"MICROMATCH-10-SMD";"ISP1";"";"";
"4";"100n";"C-EUC0603";"C0603";"C1, C2, C3, C4";"CAPACITOR, European symbol";"";
"3";"10k";"R-EU_R0603";"R0603";"R5, R7, R8";"RESISTOR, European symbol";"";
"1";"10uF";"C-EUC0805";"C0805";"C10";"CAPACITOR, European symbol";"";
"1";"15uH";"L-EUPIS2816";"PIS2816";"L1";"INDUCTOR, European symbol";"";
"1";"20MHz";"CRYSTALSM49";"SM49";"Q2";"CRYSTAL";"";
"1";"22-05-7028-02";"22-05-7028-02";"7395-02";"POWER";"CONNECTOR";"";
"1";"220p";"C-EUC0603";"C0603";"C11";"CAPACITOR, European symbol";"";
"1";"22n";"C-EUC0603";"C0603";"C12";"CAPACITOR, European symbol";"";
"2";"22p";"C-EUC0603";"C0603";"C5, C6";"CAPACITOR, European symbol";"";
"3";"3k3";"R-EU_R0603";"R0603";"R1, R2, R14";"RESISTOR, European symbol";"";
"2";"4k7";"R-EU_R0603";"R0603";"R6, R12";"RESISTOR, European symbol";"";
"1";"5k6";"R-EU_R0603";"R0603";"R13";"RESISTOR, European symbol";"";
"1";"FT245RL";"FT245RL";"SSOP28DB";"U$2";"USB FIFO Controller";"";
"1";"L5970AD";"L5970AD";"SO8";"U$3";"";"";
"1";"MBRS240LT3G";"1N4004";"DO41-10";"D1";"DIODE";"";
"1";"MEGA8-AI";"MEGA8-AI";"TQFP32-08";"IC3";"MICROCONTROLLER";"";
"1";"MICROMATCH-8SMD";"MICROMATCH-8SMD";"MICROMATCH-8-SMD";"CONN";"MicroMaTch 8  7-215464-8 / 0-215464-8";"";
"1";"USBPTH";"USBPTH";"USB-B-PTH";"X1";"USB Connectors";"";
